bucket,team_games,pts,q1_pg,q2_pg,q3_pg,q4_pg,q1_share,q2_share,q3_share,q4_share,h1_share,h2_share
fastest 25%,4191,122531.0,6.686948222381293,8.63517060367454,6.644476258649487,7.270102600811263,22.871763064040938,29.53538288269907,22.726493703634183,24.866360349625808,52.40714594674001,47.59285405325999
fast-mid,4117,114316.0,6.167354870051008,8.417051250910857,6.261841146465874,6.920573232936604,22.21123902165926,30.31334196437944,22.55152384618076,24.92389516778054,52.5245809860387,47.4754190139613
slow-mid,4011,108492.0,6.044128646222887,7.962852156569434,6.076290201944652,6.965345300423834,22.345426390885965,29.439036979685138,22.46432916712753,25.75120746230137,51.7844633705711,48.2155366294289
slowest 25%,4162,106304.0,5.5249879865449305,7.615088899567516,5.827486785199423,6.574002883229217,21.63135912101144,29.814494280553884,22.815698374473207,25.73844822396147,51.44585340156532,48.55414659843468
