bucket,1,2,3,4
spread 0-3,0.7513,1.1103,0.8318,1.0076
spread 3.5-7,0.7436,1.1077,0.8315,0.9708
spread 7.5-14,0.7706,1.1397,0.859,0.9691
spread 14.5+,0.8672,1.2026,0.9156,0.9023
