season,h1_gap
2015,-0.6838198580474426
2016,3.015562223807656
2017,0.3099004476331757
2018,5.159080669646585
2019,2.3131113236229197
2020,2.6428067859200297
2021,1.6604006848871506
2022,3.1397715357896416
2023,3.2015377283455067
2024,1.893933995581854
2025,2.086421908437515
