game_id,season,week,date,away_team,home_team,fav_team,dog_team,spread,total,fav_pts,dog_pts,actual_total,bias,model_prob,over,threshold,passes_filter,flat_units_risked,flat_units_pnl,kelly_units,kelly_units_pnl
400869819,2016,5,2016-10-01,Troy,Idaho,Troy,Idaho,15,57.5,34,13,47,0.1446618979,0.483265004,0,1.75,0,0,0,0,0
400869370,2016,5,2016-10-01,Old Dominion,Charlotte,Old Dominion,Charlotte,9.5,57,52,17,69,0.08749512255,0.4805889714,1,1.75,0,0,0,0,0
400868914,2016,6,2016-10-08,Army,Duke,Duke,Army,5.5,43,13,6,19,0.328469884,0.4918737424,0,1.75,0,0,0,0,0
400869569,2016,13,2016-11-26,UCF,South Florida,South Florida,UCF,12,66,48,31,79,0.0365601413,0.4782053882,1,1.75,0,0,0,0,0
400869265,2016,1,2016-09-03,Toledo,Arkansas State,Arkansas State,Toledo,4.5,64,10,31,41,0.0230245209,0.477572095,0,1.75,0,0,0,0,0
400868975,2016,1,2016-09-03,South Alabama,Mississippi State,Mississippi State,South Alabama,27.5,52,20,21,41,0.8328155136,0.5155024881,0,1.75,0,0,0,0,0
400869176,2016,1,2016-09-03,Boise State,Louisiana,Boise State,Louisiana,18.5,64.5,45,10,55,0.095141313,0.480946849,0,1.75,0,0,0,0,0
400869264,2016,1,2016-09-03,Texas State,Ohio,Ohio,Texas State,17,58.5,54,56,110,0.1599902544,0.4839826725,1,1.75,0,0,0,0,0
400869842,2016,11,2016-11-12,App State,Troy,Troy,App State,2,49,28,24,52,0.1480445727,0.4834233751,1,1.75,0,0,0,0,0
400869144,2016,8,2016-10-22,Oregon State,Washington,Washington,Oregon State,36.5,53,41,17,58,1.577366282,0.5502617037,1,1.75,0,0,0,1.388739445,1.262490404
400869204,2016,4,2016-09-24,San José State,Iowa State,Iowa State,San José State,7.5,52,44,10,54,0.1345218034,0.4827902778,1,1.75,0,0,0,0,0
400869363,2016,4,2016-09-24,Charlotte,Temple,Temple,Charlotte,24.5,52,48,20,68,0.641380404,0.5065356113,1,1.75,0,0,0,0,0
400869199,2016,4,2016-09-25,Air Force,Utah State,Air Force,Utah State,5.5,53.5,27,20,47,0.09799097477,0.4810802305,0,1.75,0,0,0,0,0
400869227,2016,8,2016-10-23,UL Monroe,New Mexico,New Mexico,UL Monroe,15.5,59,59,17,76,0.1286834799,0.4825169575,1,1.75,0,0,0,0,0
400869228,2016,8,2016-10-23,Fresno State,Utah State,Utah State,Fresno State,20.5,51,38,20,58,0.489534455,0.4994205306,1,1.75,0,0,0,0,0
400869317,2016,9,2016-10-27,Akron,Buffalo,Akron,Buffalo,19.5,63,20,41,61,0.1268361523,0.4824304769,0,1.75,0,0,0,0,0
400869234,2016,9,2016-10-29,San Diego State,Utah State,San Diego State,Utah State,4.5,45,40,13,53,0.2526253991,0.4883208404,1,1.75,0,0,0,0,0
400869231,2016,9,2016-10-29,Air Force,Fresno State,Air Force,Fresno State,16,51,31,21,52,0.321170708,0.4915317831,1,1.75,0,0,0,0,0
400869036,2016,9,2016-10-29,Auburn,Ole Miss,Auburn,Ole Miss,4,65.5,40,29,69,0.01805724874,0.4773397045,1,1.75,0,0,0,0,0
400869038,2016,9,2016-10-29,Kentucky,Missouri,Missouri,Kentucky,7.5,69,21,35,56,0.01448395897,0.4771725354,0,1.75,0,0,0,0,0
400869319,2016,9,2016-10-29,Kent State,Central Michigan,Central Michigan,Kent State,12.5,44.5,24,27,51,0.4514468795,0.4976357926,1,1.75,0,0,0,0,0
400869392,2016,9,2016-10-29,Western Kentucky,Florida Atlantic,Western Kentucky,Florida Atlantic,21.5,66.5,52,3,55,0.1064667097,0.4814769589,0,1.75,0,0,0,0,0
400869717,2016,9,2016-10-29,Miami (OH),Eastern Michigan,Eastern Michigan,Miami (OH),7,50,15,28,43,0.1639689351,0.4841689616,0,1.75,0,0,0,0,0
400869391,2016,9,2016-10-29,Middle Tennessee,Florida International,Middle Tennessee,Florida International,17.5,62.5,42,35,77,0.1072521329,0.4815137236,1,1.75,0,0,0,0,0
400869393,2016,9,2016-10-29,Rice,Louisiana Tech,Louisiana Tech,Rice,29.5,68,61,16,77,0.2183651051,0.4867162188,1,1.75,0,0,0,0,0
400869395,2016,9,2016-10-29,North Texas,UTSA,UTSA,North Texas,4.5,51,31,17,48,0.1259886988,0.4823908045,0,1.75,0,0,0,0,0
400869396,2016,9,2016-10-30,Old Dominion,UTEP,Old Dominion,UTEP,5,54.5,31,21,52,0.08405422793,0.4804279265,0,1.75,0,0,0,0,0
400869841,2016,10,2016-11-05,South Alabama,UL Monroe,South Alabama,UL Monroe,9,49.5,35,42,77,0.2012158932,0.4859130942,1,1.75,0,0,0,0,0
400869398,2016,10,2016-11-05,Florida International,Western Kentucky,Western Kentucky,Florida International,34,65.5,49,21,70,0.4416556913,0.4971769955,1,1.75,0,0,0,0,0
400869400,2016,10,2016-11-05,Louisiana Tech,North Texas,Louisiana Tech,North Texas,17.5,63.5,45,24,69,0.09539589095,0.4809587647,1,1.75,0,0,0,0,0
400869240,2016,10,2016-11-05,Hawai'i,San Diego State,San Diego State,Hawai'i,20,50.5,55,0,55,0.4901869506,0.499451106,1,1.75,0,0,0,0,0
400869043,2016,10,2016-11-05,Georgia,Kentucky,Georgia,Kentucky,2.5,52,27,24,51,0.1038649594,0.4813551754,0,1.75,0,0,0,0,0
