prior,gl_unit,coverage,supported,gl_bets,staked,median,median_pct,p5,p95,p_down,p_m25,p_bust,worst_week_med,ratio,passes_a
k0.5,0.0025,-1.0,True,107,7569.967112004029,20519.448994019916,0.025972449700995822,19045.748269437154,22078.132753400063,0.2856,0.0,0.0,-324.56799577056063,0.3524792960707704,True
k0.5,0.005,-1.0,True,107,13112.123364445488,20902.8531863916,0.04514265931957998,18424.684893882717,23628.548562572956,0.28246,2e-05,0.0,-536.4862819647938,0.36432278999000367,True
k0.5,0.01,-1.0,True,107,24503.986379263457,21633.36579621086,0.08166828981054296,16951.193031253628,27306.773571099333,0.29774,0.00674,0.0,-1054.5454545454545,0.3488478273239836,True
k0.5,0.015,-1.0,True,107,36329.620882729876,22314.131640395535,0.11570658201977677,15485.308719657889,31535.59813559137,0.31112,0.0369,0.0,-1612.8086213992062,0.3388770901304267,False
k0.5,0.02,-1.0,True,107,48619.00364181742,22949.947550853543,0.14749737754267717,14059.854801697065,36275.625839415654,0.32216,0.07658,0.0,-2205.559438133656,0.3318241591049142,False
n58,0.0025,-1.0,True,107,7554.112668334031,20404.694702318615,0.020234735115930744,18720.321702520476,22216.15884793235,0.34844,0.0,0.0,-333.932228254856,0.24026430153363587,True
n58,0.005,-1.0,True,107,13054.479790821462,20683.414426389478,0.034170721319473886,17731.779179526857,23996.64119716175,0.36044,0.00034,0.0,-549.4000977760647,0.23153756112510812,True
n58,0.01,-1.0,True,107,24300.43561276933,21174.45811653959,0.05872290582697951,15684.431148053744,28200.94190112109,0.37522,0.02934,0.0,-1072.7272727272727,0.2139257463180562,True
n58,0.015,-1.0,True,107,35911.93748464238,21609.542425899108,0.08047712129495539,13772.500554139593,33095.81055618048,0.3872,0.09064,0.0,-1638.014818534206,0.20537626980136897,False
n58,0.02,-1.0,True,107,47937.93172590002,21969.11236770465,0.09845561838523245,12013.449156128781,38692.484720890934,0.39668,0.14674,0.0,-2227.215861564682,0.1977881659772379,False
pooled,0.0025,-1.0,True,107,7576.083705535667,20543.287116785985,0.027164355839299242,19128.132222743538,22043.163020835356,0.2653,0.0,0.0,-324.3939533891547,0.383906467817147,True
pooled,0.005,-1.0,True,107,13129.146966459413,20953.25470875568,0.04766273543778407,18609.423518981712,23531.681706253825,0.2586,0.0,0.0,-535.1627141942304,0.4067079203121321,True
pooled,0.01,-1.0,True,107,24559.33767643384,21724.55924046498,0.08622796202324898,17309.300845788985,27074.081737036155,0.27282,0.00382,0.0,-1050.0947435725066,0.39059078457208457,True
pooled,0.015,-1.0,True,107,36441.64483129528,22445.356408622836,0.1222678204311418,15973.24176038286,31146.096994768868,0.2861,0.02592,0.0,-1602.9127264165836,0.37782958762756547,True
pooled,0.02,-1.0,True,107,48801.25962222742,23109.30360147049,0.15546518007352442,14664.150348665637,35688.7005842323,0.29818,0.05936,0.0,-2195.4518398117248,0.36817610153348124,False
