game_id,season,week,date,away_team,home_team,fav_team,dog_team,spread,total,fav_pts,dog_pts,actual_total,bias,model_prob,over,threshold,passes_filter,flat_units_risked,flat_units_pnl,kelly_units,kelly_units_pnl
400869197,2016,3,2016-09-17,San Diego State,Northern Illinois,San Diego State,Northern Illinois,13,48,42,28,70,0.3361002502,0.4954523483,1,1.75,0,0,0,0,0
400876040,2016,1,2016-12-17,App State,Toledo,App State,Toledo,1,59.5,31,28,59,0.03869162482,0.4835915953,0,1.75,0,0,0,0,0
400869002,2016,4,2016-09-24,Kent State,Alabama,Alabama,Kent State,42.5,49.5,48,0,48,3.042163115,0.6022656287,0,1.75,1,1,-1,4.118945504,-4.118945504
400869200,2016,4,2016-09-24,Colorado State,Minnesota,Minnesota,Colorado State,17.5,56,31,24,55,0.2252181485,0.4910293024,0,1.75,0,0,0,0,0
400869820,2016,5,2016-10-02,Louisiana,New Mexico State,Louisiana,New Mexico State,5.5,67.5,31,37,68,0.0152920442,0.4826588914,1,1.75,0,0,0,0,0
400868967,2016,13,2016-11-27,Massachusetts,Hawai'i,Hawai'i,Massachusetts,9,57,46,40,86,0.08511148115,0.4854421448,1,1.75,0,0,0,0,0
400926942,2016,14,2016-12-03,Colorado,Washington,Washington,Colorado,8.5,55.5,41,10,51,0.09763823315,0.4859415851,0,1.75,0,0,0,0,0
400926941,2016,14,2016-12-03,Western Michigan,Ohio,Western Michigan,Ohio,16.5,58,29,23,52,0.1634799975,0.4885670337,0,1.75,0,0,0,0,0
400926943,2016,14,2016-12-03,Alabama,Florida,Alabama,Florida,24,40.5,54,16,70,1.600747467,0.545804952,1,1.75,0,0,0,1.154759981,1.049781801
400926944,2016,14,2016-12-04,Clemson,Virginia Tech,Clemson,Virginia Tech,10,58.5,42,35,77,0.07798530013,0.4851580349,1,1.75,0,0,0,0,0
400876109,2016,1,2017-01-02,Florida,Iowa,Florida,Iowa,1,41,30,3,33,0.3637699874,0.4965561922,0,1.75,0,0,0,0,0
400876570,2016,1,2017-01-10,Clemson,Alabama,Alabama,Clemson,6.5,51,31,35,66,0.1430062724,0.4877505829,1,1.75,0,0,0,0,0
400876044,2016,1,2016-12-22,BYU,Wyoming,BYU,Wyoming,10,56,24,21,45,0.1054925979,0.4862547491,0,1.75,0,0,0,0,0
400876047,2016,1,2016-12-23,Louisiana Tech,Navy,Louisiana Tech,Navy,7.5,67,48,45,93,0.01976670764,0.4828372437,1,1.75,0,0,0,0,0
400876048,2016,1,2016-12-24,Ohio,Troy,Troy,Ohio,6,49.5,28,23,51,0.1650307508,0.4886288766,1,1.75,0,0,0,0,0
400876091,2016,1,2016-12-26,Maryland,Boston College,Maryland,Boston College,1,43.5,30,36,66,0.2770640227,0.4930973109,1,1.75,0,0,0,0,0
400876092,2016,1,2016-12-26,NC State,Vanderbilt,NC State,Vanderbilt,6.5,46.5,41,17,58,0.2389319551,0.4915762923,1,1.75,0,0,0,0,0
400876094,2016,1,2016-12-27,Temple,Wake Forest,Temple,Wake Forest,10.5,41.5,26,34,60,0.5255450924,0.5030102292,1,1.75,0,0,0,0,0
400876093,2016,1,2016-12-27,Army,North Texas,Army,North Texas,10.5,47,38,31,69,0.3016278716,0.4940771726,1,1.75,0,0,0,0,0
400876098,2016,1,2016-12-28,West Virginia,Miami,Miami,West Virginia,3,57.5,31,14,45,0.05269577454,0.4841498419,0,1.75,0,0,0,0,0
400903226,2016,1,2016-12-29,Indiana,Utah,Utah,Indiana,3.5,54,26,24,50,0.0842668065,0.4854084686,0,1.75,0,0,0,0,0
400876097,2016,1,2016-12-28,Pittsburgh,Northwestern,Pittsburgh,Northwestern,3.5,63,24,31,55,0.02548504304,0.4830651715,0,1.75,0,0,0,0,0
400876099,2016,1,2016-12-29,Texas A&M,Kansas State,Texas A&M,Kansas State,4,56,28,33,61,0.06679499703,0.4847119099,1,1.75,0,0,0,0,0
400876102,2016,1,2016-12-30,Oklahoma State,Colorado,Colorado,Oklahoma State,3,64,8,38,46,0.0216486437,0.4829122554,0,1.75,0,0,0,0,0
400869819,2016,5,2016-10-01,Troy,Idaho,Troy,Idaho,15,57.5,34,13,47,0.1475137247,0.4879303267,0,1.75,0,0,0,0,0
400869370,2016,5,2016-10-01,Old Dominion,Charlotte,Old Dominion,Charlotte,9.5,57,52,17,69,0.08920355124,0.4856052928,1,1.75,0,0,0,0,0
400868914,2016,6,2016-10-08,Army,Duke,Duke,Army,5.5,43,13,6,19,0.3313922136,0.4952645312,0,1.75,0,0,0,0,0
400869569,2016,13,2016-11-26,UCF,South Florida,South Florida,UCF,12,66,48,31,79,0.03753931781,0.4835456624,1,1.75,0,0,0,0,0
400869265,2016,1,2016-09-03,Toledo,Arkansas State,Arkansas State,Toledo,4.5,64,10,31,41,0.02342200289,0.4829829399,0,1.75,0,0,0,0,0
400868975,2016,1,2016-09-03,South Alabama,Mississippi State,Mississippi State,South Alabama,27.5,52,20,21,41,0.842082279,0.5156346815,0,1.75,0,0,0,0,0
400869176,2016,1,2016-09-03,Boise State,Louisiana,Boise State,Louisiana,18.5,64.5,45,10,55,0.09731784306,0.4859288109,0,1.75,0,0,0,0,0
400869264,2016,1,2016-09-03,Texas State,Ohio,Ohio,Texas State,17,58.5,54,56,110,0.1631215787,0.4885527402,1,1.75,0,0,0,0,0
400876038,2016,1,2016-12-17,New Mexico,UTSA,New Mexico,UTSA,9,54,23,20,43,0.1219973269,0.4869128421,0,1.75,0,0,0,0,0
400876043,2016,1,2016-12-21,Memphis,Western Kentucky,Western Kentucky,Memphis,6.5,78.5,51,31,82,0.003136206196,0.4821743986,1,1.75,0,0,0,0,0
400876111,2016,1,2017-01-02,USC,Penn State,USC,Penn State,7,59.5,52,49,101,0.05197207273,0.4841209923,1,1.75,0,0,0,0,0
400869842,2016,11,2016-11-12,App State,Troy,Troy,App State,2,49,28,24,52,0.1489395157,0.4879871835,1,1.75,0,0,0,0,0
400869144,2016,8,2016-10-22,Oregon State,Washington,Washington,Oregon State,36.5,53,41,17,58,1.59007218,0.5453818399,1,1.75,0,0,0,1.132546594,1.029587813
400869204,2016,4,2016-09-24,San José State,Iowa State,Iowa State,San José State,7.5,52,44,10,54,0.1365452476,0.4874929408,1,1.75,0,0,0,0,0
400869363,2016,4,2016-09-24,Charlotte,Temple,Temple,Charlotte,24.5,52,48,20,68,0.6493429503,0.5079487165,1,1.75,0,0,0,0,0
400869199,2016,4,2016-09-25,Air Force,Utah State,Air Force,Utah State,5.5,53.5,27,20,47,0.09932443535,0.4860088155,0,1.75,0,0,0,0,0
400869227,2016,8,2016-10-23,UL Monroe,New Mexico,New Mexico,UL Monroe,15.5,59,59,17,76,0.1313270041,0.4872848601,1,1.75,0,0,0,0,0
400869228,2016,8,2016-10-23,Fresno State,Utah State,Utah State,Fresno State,20.5,51,38,20,58,0.4962163325,0.5018401639,1,1.75,0,0,0,0,0
400869317,2016,9,2016-10-27,Akron,Buffalo,Akron,Buffalo,19.5,63,20,41,61,0.1295328167,0.4872133166,0,1.75,0,0,0,0,0
400869234,2016,9,2016-10-29,San Diego State,Utah State,San Diego State,Utah State,4.5,45,40,13,53,0.254803342,0.4922093594,1,1.75,0,0,0,0,0
400869231,2016,9,2016-10-29,Air Force,Fresno State,Air Force,Fresno State,16,51,31,21,52,0.3261023386,0.4950535043,1,1.75,0,0,0,0,0
400869036,2016,9,2016-10-29,Auburn,Ole Miss,Auburn,Ole Miss,4,65.5,40,29,69,0.01835790359,0.4827810908,1,1.75,0,0,0,0,0
400869038,2016,9,2016-10-29,Kentucky,Missouri,Missouri,Kentucky,7.5,69,21,35,56,0.01487493044,0.4826422662,0,1.75,0,0,0,0,0
